step,avg_reward,avg_action
10,-4.066828053306568,0.0,0.5750000000000004
20,-2.6726219952070056,0.0,0.5400000000000004
30,-2.7515868907906724,0.0,0.5650000000000005
40,-2.877995406480424,0.0,0.5512500000000005
50,-4.214461236596783,0.0,0.5550000000000005
60,-6.590051030497319,0.0,0.5708333333333339
70,-8.257758026140559,0.0,0.5757142857142861
80,-9.227380250155013,0.0,0.5737500000000003
90,-10.2154491112489,0.0,0.606666666666667
100,-10.05524264271901,0.0,0.5995000000000004
110,-11.313318874187813,0.0,0.5913636363636366
120,-11.594388238957203,0.0,0.5870833333333338
130,-11.986236636651633,0.0,0.593461538461539
140,-11.40289443125124,0.0,0.5946428571428578
150,-10.358335945308683,0.0,0.601333333333334
160,-8.472424410355774,0.0,0.5981250000000007
170,-7.264718014564965,0.0,0.5976470588235302
180,-5.4126507515555105,0.0,0.5933333333333342
190,-4.619727805574429,0.0,0.584473684210527
200,-4.626560568244176,0.0,0.5770000000000006
210,-3.5555568543426097,0.0,0.5728571428571434
220,-3.832535523410081,0.0,0.5715909090909097
230,-2.813578637343318,0.004347826086956522,0.5673913043478267
240,-2.6529849951720452,0.004166666666666667,0.5647916666666671
250,-2.7895011404337695,0.004,0.5598000000000006
260,-2.7052730646722756,0.007692307692307693,0.5555769230769236
270,-2.968275278462146,0.007407407407407408,0.5533333333333338
280,-2.871412504237372,0.007142857142857143,0.5542857142857146
290,-2.164821678539851,0.006896551724137931,0.551379310344828
300,-1.219972856996674,0.006666666666666667,0.5493333333333338
310,-1.0305939842622758,0.0064516129032258064,0.5537096774193552
320,0.021336022896429246,0.009375,0.5504687500000004
330,-1.1608974713719584,0.00909090909090909,0.5524242424242427
340,-1.9553146998139441,0.008823529411764706,0.5502941176470592
350,-1.9051678582358158,0.008571428571428572,0.5455714285714288
360,-2.5878948743259764,0.008333333333333333,0.545416666666667
370,-2.0975574706400377,0.008108108108108109,0.5470270270270274
380,-2.5333634267311176,0.007894736842105263,0.5480263157894741
390,-1.881268650678364,0.007692307692307693,0.5487179487179491
400,-3.2929077075307345,0.0075,0.5485000000000004
410,-2.509392480229767,0.00975609756097561,0.5521951219512199
420,-2.696926241807268,0.009523809523809525,0.5522619047619052
430,-2.7740003543470726,0.009302325581395349,0.5560465116279075
440,-2.9170264620376454,0.00909090909090909,0.5576136363636369
450,-4.362264580931829,0.008888888888888889,0.5601111111111117
460,-3.4534725316374164,0.008695652173913044,0.5626086956521745
470,-3.7641598699455106,0.00851063829787234,0.5603191489361707
480,-4.517439687975449,0.008333333333333333,0.5616666666666671
490,-4.88421807613307,0.00816326530612245,0.5613265306122454
500,-4.224710810258414,0.008,0.5598000000000005
510,-5.293620928992621,0.00784313725490196,0.5583333333333337
520,-4.9332871653914285,0.009615384615384616,0.5543269230769234
530,-4.8548730337839645,0.009433962264150943,0.557735849056604
540,-5.0076942859750515,0.009259259259259259,0.557777777777778
550,-3.3223157166833728,0.00909090909090909,0.5553636363636368
560,-3.991412108709564,0.008928571428571428,0.5558928571428575
570,-3.3155014130381697,0.008771929824561403,0.5569298245614039
580,-2.396425815215818,0.008620689655172414,0.5537068965517246
590,-2.4614415497204174,0.00847457627118644,0.5528813559322038
600,-1.669091668169976,0.008333333333333333,0.5551666666666671
610,-1.2463810284766124,0.00819672131147541,0.5540163934426234
620,-2.1804160188438804,0.008064516129032258,0.5535483870967747
630,-1.5111222364215087,0.007936507936507936,0.5550793650793656
640,-1.287907373622417,0.0078125,0.5518750000000003
650,-2.952612631519139,0.007692307692307693,0.5494615384615388
660,-2.1773130626618378,0.00909090909090909,0.549848484848485
670,-2.372428415517071,0.008955223880597015,0.5516417910447763
